"","ID","Item","Rating","Order","Parenthesis","Modal_Label"
"1","1_L1","X1_highlow_no_1",87,"High-Low","No","must_probably"
"2","2_L1","X1_highlow_no_1",73,"High-Low","No","must_probably"
"3","3_L1","X1_highlow_no_1",50,"High-Low","No","must_probably"
"4","4_L1","X1_highlow_no_1",80,"High-Low","No","must_probably"
"5","5_L1","X1_highlow_no_1",80,"High-Low","No","must_probably"
"6","6_L1","X1_highlow_no_1",89,"High-Low","No","must_probably"
"7","7_L1","X1_highlow_no_1",91,"High-Low","No","must_probably"
"8","8_L1","X1_highlow_no_1",51,"High-Low","No","must_probably"
"9","9_L1","X1_highlow_no_1",54,"High-Low","No","must_probably"
"10","10_L1","X1_highlow_no_1",82,"High-Low","No","must_probably"
"11","11_L1","X1_highlow_no_1",80,"High-Low","No","must_probably"
"12","1_L1","X2_lowonly_yes_1",97,"Low","Yes","must_probably"
"13","2_L1","X2_lowonly_yes_1",96,"Low","Yes","must_probably"
"14","3_L1","X2_lowonly_yes_1",90,"Low","Yes","must_probably"
"15","4_L1","X2_lowonly_yes_1",100,"Low","Yes","must_probably"
"16","5_L1","X2_lowonly_yes_1",50,"Low","Yes","must_probably"
"17","6_L1","X2_lowonly_yes_1",91,"Low","Yes","must_probably"
"18","7_L1","X2_lowonly_yes_1",90,"Low","Yes","must_probably"
"19","8_L1","X2_lowonly_yes_1",91,"Low","Yes","must_probably"
"20","9_L1","X2_lowonly_yes_1",77,"Low","Yes","must_probably"
"21","10_L1","X2_lowonly_yes_1",95,"Low","Yes","must_probably"
"22","11_L1","X2_lowonly_yes_1",90,"Low","Yes","must_probably"
"23","1_L1","X3_highonly_yes_1",59,"High","Yes","must_probably"
"24","2_L1","X3_highonly_yes_1",94,"High","Yes","must_probably"
"25","3_L1","X3_highonly_yes_1",86,"High","Yes","must_probably"
"26","4_L1","X3_highonly_yes_1",90,"High","Yes","must_probably"
"27","5_L1","X3_highonly_yes_1",60,"High","Yes","must_probably"
"28","6_L1","X3_highonly_yes_1",85,"High","Yes","must_probably"
"29","7_L1","X3_highonly_yes_1",58,"High","Yes","must_probably"
"30","8_L1","X3_highonly_yes_1",61,"High","Yes","must_probably"
"31","9_L1","X3_highonly_yes_1",84,"High","Yes","must_probably"
"32","10_L1","X3_highonly_yes_1",70,"High","Yes","must_probably"
"33","11_L1","X3_highonly_yes_1",75,"High","Yes","must_probably"
"34","1_L1","X4_lowhigh_yes_1",67,"Low-High","Yes","must_probably"
