id,random,item,condition,choice,mean_accuracy
79700,3,3,highlow,1,1
79700,3,4,lowhigh,0,1
79700,3,7,highlow,1,1
79700,3,8,lowhigh,0,1
79700,3,11,highlow,1,1
79700,3,12,lowhigh,0,1
79700,3,15,highlow,1,1
79700,3,16,lowhigh,1,1
79700,3,19,highlow,1,1
79700,3,20,lowhigh,0,1
79700,3,23,highlow,1,1
79700,3,24,lowhigh,0,1
79700,3,27,highlow,1,1
79700,3,28,lowhigh,1,1
79700,3,31,highlow,1,1
79700,3,32,lowhigh,0,1
79700,3,35,highlow,1,1
79700,3,36,lowhigh,0,1
79700,3,39,highlow,1,1
79700,3,40,lowhigh,0,1
79700,3,43,highlow,1,1
79700,3,44,lowhigh,1,1
79700,3,47,highlow,1,1
79700,3,48,lowhigh,1,1
77354,4,2,highlow,1,0.96
77354,4,3,lowhigh,1,0.96
77354,4,6,highlow,1,0.96
77354,4,7,lowhigh,0,0.96
77354,4,10,highlow,1,0.96
77354,4,11,lowhigh,1,0.96
77354,4,14,highlow,1,0.96
77354,4,15,lowhigh,1,0.96
77354,4,18,highlow,0,0.96
77354,4,19,lowhigh,1,0.96
77354,4,22,highlow,1,0.96
77354,4,23,lowhigh,0,0.96
77354,4,26,highlow,0,0.96
77354,4,27,lowhigh,0,0.96
77354,4,30,highlow,1,0.96
77354,4,31,lowhigh,1,0.96
77354,4,34,highlow,1,0.96
77354,4,35,lowhigh,0,0.96
77354,4,38,highlow,0,0.96
77354,4,39,lowhigh,0,0.96
77354,4,42,highlow,0,0.96
77354,4,43,lowhigh,0,0.96
77354,4,46,highlow,1,0.96
77354,4,47,lowhigh,1,0.96
91797,3,3,highlow,1,1
91797,3,4,lowhigh,1,1
91797,3,7,highlow,1,1
91797,3,8,lowhigh,1,1
91797,3,11,highlow,1,1
91797,3,12,lowhigh,1,1
91797,3,15,highlow,1,1
91797,3,16,lowhigh,1,1
91797,3,19,highlow,1,1
91797,3,20,lowhigh,1,1
91797,3,23,highlow,1,1
91797,3,24,lowhigh,1,1
91797,3,27,highlow,1,1
91797,3,28,lowhigh,1,1
91797,3,31,highlow,0,1
91797,3,32,lowhigh,1,1
91797,3,35,highlow,1,1
91797,3,36,lowhigh,1,1
91797,3,39,highlow,0,1
91797,3,40,lowhigh,1,1
